paper,section,normalized_section
Oizumi_2008,IFG is not a risk factor for stroke,results
Oizumi_2008,Discussion,discussion
Oizumi_2008,all_tables,tables
Oizumi_2008,all_figure_descriptions,figures
Hu_2003,Abstract,abstract
Hu_2003,Subjects and methods,methods
Hu_2003,Results,results
Hu_2003,Discussion,discussion
Hu_2003,all_tables,tables
Hu_2003,all_figure_descriptions,figures
Liu_2007,Abstract,abstract
Liu_2007,Methods,methods
Liu_2007,Subjects,methods
Liu_2007,Ascertainment of CHD and stroke,methods
Liu_2007,Statistical analysis,methods
Liu_2007,Results,results
Liu_2007,American Heart Journal April 2007,results
Liu_2007,Discussion,discussion
Liu_2007,all_tables,tables
Liu_2007,all_figure_descriptions,figures
Hyvarinen_2009,Abstract,abstract
Hyvarinen_2009,Participants and Methods,methods
Hyvarinen_2009,Study Population,methods
Hyvarinen_2009,Definition of the First Stroke Events,methods
Hyvarinen_2009,Statistical Methods,methods
Hyvarinen_2009,Results,results
Hyvarinen_2009,Discussion,discussion
Hyvarinen_2009,all_tables,tables
Hyvarinen_2009,all_figure_descriptions,figures
Onat_2005,Abstract,abstract
Onat_2005,Introduction,intro
Onat_2005,Methods,methods
Onat_2005,Population sample,methods
Onat_2005,"Definitions of IFG, glucose tolerance, DM, GM, and MS",methods
Onat_2005,Measurement of risk factors and validation,methods
Onat_2005,Ascertainment of cause of death and diagnosis of coronary heart disease,methods
Onat_2005,Data analysis,methods
Onat_2005,Results,results
Onat_2005,Features of the 4 groups with normal GM,results
Onat_2005,Incidence of newly developing abnormal GM,results
Onat_2005,Predictors of abnormal GM,results
Onat_2005,Predictors of CVD,results
Onat_2005,Discussion,discussion
Onat_2005,Sex difference in developing obesity or MS relative to the incidence of abnormal GM,discussion
Onat_2005,Hypothesis that men and women have divergent pathways supported,discussion
Onat_2005,Men Women,discussion
Onat_2005,all_tables,tables
Onat_2005,all_figure_descriptions,figures
Kim_2017,Abstract,abstract
Kim_2017,Methods,methods
Kim_2017,Study Population,methods
Kim_2017,Determinants of Glucose Tolerance State and Mortality,methods
Kim_2017,Statistical Analyses,methods
Kim_2017,Results,results
Kim_2017,Stroke,results
Kim_2017,Characteristics of the 2002 to 2013 NHIS Cohort Participants According to Their Glucose Tolerance State,results
Kim_2017,Discussion,discussion
Kim_2017,Summary,conclusions
Kim_2017,all_tables,tables
Kim_2017,all_figure_descriptions,figures
Onat_2013,Abstract,abstract
Onat_2013,Introduction,intro
Onat_2013,Population and methods,methods
Onat_2013,Subjects,methods
Onat_2013,Measurements of risk variables,methods
Onat_2013,Definitions and outcomes,methods
Onat_2013,Data analysis,methods
Onat_2013,Results,results
Onat_2013,Discussion,discussion
Onat_2013,HDL function associated with low-grade inflammation mediates development of IFG and IGT,discussion
Onat_2013,Impact of impaired glucose regulation on CHD,discussion
Onat_2013,Utility of different glucose criteria in risks for diabetes CHD,discussion
Onat_2013,Limitations,discussion
Onat_2013,Conclusions,conclusions
Onat_2013,all_tables,tables
Onat_2013,all_figure_descriptions,figures
Stengard_1992,Abstract,abstract
Stengard_1992,"Subjects, materials and methods",methods
Stengard_1992,Statistical analysis,methods
Stengard_1992,Results,results
Stengard_1992,Discussion,discussion
Stengard_1992,all_tables,tables
Stengard_1992,all_figure_descriptions,figures
Tsai_2008,Abstract,abstract
Tsai_2008,Introduction,intro
Tsai_2008,Research design and methods,methods
Tsai_2008,Results,results
Tsai_2008,Discussion,discussion
Tsai_2008,all_tables,tables
Tsai_2008,all_figure_descriptions,figures
DECODE_2001,Abstract,abstract
DECODE_2001,Conclusion:,intro
DECODE_2001,Arch Intern,intro
DECODE_2001,ORIGINAL INVESTIGATION,intro
DECODE_2001,RESULTS,results
DECODE_2001,PARTICIPANTS AND METHODS,methods
DECODE_2001,STATISTICAL ANALYSIS,methods
DECODE_2001,COMMENT,discussion
DECODE_2001,Accepted for publication,misc.
DECODE_2001,all_tables,tables
DECODE_2001,all_figure_descriptions,figures
Kim_2016,Abstract,abstract
Kim_2016,Introduction,intro
Kim_2016,Methods,methods
Kim_2016,Data sources,methods
Kim_2016,Disease definitions,methods
Kim_2016,Obesity and hypertension,methods
Kim_2016,Definitions of dysglycemia,methods
Kim_2016,Outcome definitions,methods
Kim_2016,Statistical analyses,methods
Kim_2016,Results,results
Kim_2016,Table 1 lists the baseline characteristics of participants.,results
Kim_2016,Discussion,discussion
Kim_2016,all_tables,tables
Kim_2016,all_figure_descriptions,figures
Bonora_2003,Abstract,abstract
Bonora_2003,A,intro
Bonora_2003,RESEARCH DESIGN AND METHODS,methods
Bonora_2003,Subjects,methods
Bonora_2003,Clinical data,methods
Bonora_2003,Laboratory data,methods
Bonora_2003,Diagnostic criteria of the metabolic syndrome,methods
Bonora_2003,Assessment and definition of insulin resistance,methods
Bonora_2003,Assessment of carotid atherosclerosis,methods
Bonora_2003,Assessment of CHD,methods
Bonora_2003,Statistical analysis,methods
Bonora_2003,RESULTS,results
Bonora_2003,all_tables,tables
Bonora_2003,all_figure_descriptions,figures
Wang_2007_2,Abstract,abstract
Wang_2007_2,Instruction,intro
Wang_2007_2,Methods,methods
Wang_2007_2,Study population,methods
Wang_2007_2,Measurements,methods
Wang_2007_2,Diagnosis of diabetes and CHD,methods
Wang_2007_2,Study groups,methods
Wang_2007_2,Definitions of the MetS,methods
Wang_2007_2,Statistical analyses,methods
Wang_2007_2,Results,results
Wang_2007_2,Discussion,discussion
Wang_2007_2,all_tables,tables
Wang_2007_2,all_figure_descriptions,figures
Rodriguez_2002,Abstract,abstract
Rodriguez_2002,P,intro
Rodriguez_2002,RESEARCH DESIGN AND METHODS,methods
Rodriguez_2002,Study design,methods
Rodriguez_2002,Data collection,methods
Rodriguez_2002,Statistical methods,methods
Rodriguez_2002,RESULTS -Table,results
Rodriguez_2002,all_tables,tables
Rodriguez_2002,all_figure_descriptions,figures
Chien_2008,Abstract,abstract
Chien_2008,Subjects and methods,methods
Chien_2008,Study participants,methods
Chien_2008,Measurement of glucose metabolism markers,methods
Chien_2008,Results,results
Chien_2008,Discussion,discussion
Chien_2008,all_tables,tables
Chien_2008,all_figure_descriptions,figures
Hubbard_2019,Abstract,abstract
Hubbard_2019,RESEARCH DESIGN AND METHODS,methods
Hubbard_2019,Study Population,methods
Hubbard_2019,Data Collection,methods
Hubbard_2019,Outcome Definitions,methods
Hubbard_2019,Statistical Analyses,methods
Hubbard_2019,RESULTS,results
Hubbard_2019,Participant Characteristics,results
Hubbard_2019,Risk for Incident CVD and All-Cause Mortality,results
Hubbard_2019,Secondary Analysis: Risk for Incident Diabetes,results
Hubbard_2019,CONCLUSIONS,discussion
Hubbard_2019,all_tables,tables
Hubbard_2019,all_figure_descriptions,figures
Kim_2013,Abstract,abstract
Kim_2013,RESEARCH DESIGN AND,methods
Kim_2013,Data collection,methods
Kim_2013,Outcome ascertainment,methods
Kim_2013,Disease definitions (definition of dysglycemia),methods
Kim_2013,Statistical analysis,methods
Kim_2013,all_tables,tables
Kim_2013,all_figure_descriptions,figures
Levitzky_2008,Abstract,abstract
Levitzky_2008,Methods,methods
Levitzky_2008,Study sample.,methods
Levitzky_2008,Impact of the IFG definition on incident CHD and,results
Levitzky_2008,Discussion,discussion
Levitzky_2008,Conclusions,conclusions
Levitzky_2008,all_tables,tables
Levitzky_2008,all_figure_descriptions,figures
Brunner_2010,Abstract,abstract
Brunner_2010,Introduction,intro
Brunner_2010,Subjects and methods,methods
Brunner_2010,Study sample,methods
Brunner_2010,Follow-up for coronary heart disease,methods
Brunner_2010,Fasting glucose and diabetes at baseline,methods
Brunner_2010,Analysis,methods
Brunner_2010,Results,results
Brunner_2010,DIABETICMedicine,results
Brunner_2010,Original article,results
Brunner_2010,Discussion,discussion
Brunner_2010,Competing interests,misc.
Brunner_2010,all_tables,tables
Brunner_2010,all_figure_descriptions,figures
Cederberg_2010,Abstract,abstract
Cederberg_2010,RESEARCH DESIGN AND,methods
Cederberg_2010,Procedures,methods
Cederberg_2010,Cardiovascular and mortality outcomes,methods
Cederberg_2010,Statistical analysis,methods
Cederberg_2010,RESULTS,results
Cederberg_2010,all_tables,tables
Cederberg_2010,all_figure_descriptions,figures
Barzilay_1999,Abstract,abstract
Barzilay_1999,M e t h o d s,abstract
Barzilay_1999,I n t r o d u c t i o n,intro
Barzilay_1999,Patients and methods,methods
Barzilay_1999,Study design,methods
Barzilay_1999,Statistical analysis,methods
Barzilay_1999,D i s c u s s i o n,discussion
Barzilay_1999,A c k n o w l e d g m e n t s,misc.
Barzilay_1999,all_tables,tables
Barzilay_1999,all_figure_descriptions,figures
Palmieri_2006,Abstract,abstract
Palmieri_2006,Introduction,intro
Palmieri_2006,Methods,methods
Palmieri_2006,Population samples,methods
Palmieri_2006,Baseline measurements,methods
Palmieri_2006,Coronary events registration/validation,methods
Palmieri_2006,Data analyses,methods
Palmieri_2006,Results,results
Palmieri_2006,Baseline descriptive statistics,results
Palmieri_2006,Coronary heart disease incidence,results
Palmieri_2006,Relation of baseline risk status to coronary heart disease,results
Palmieri_2006,Relation of risk factors considered singly to coronary heart disease risk,results
Palmieri_2006,Relation of multiple risk factors considered together to coronary heart disease risk,results
Palmieri_2006,Discussion,discussion
Palmieri_2006,all_tables,tables
Palmieri_2006,all_figure_descriptions,figures
Lu_2019,Abstract,abstract
Lu_2019,RESEARCH DESIGN AND METHODS,methods
Lu_2019,Study Participants,methods
Lu_2019,Baseline Data Collection,methods
Lu_2019,14,methods
Lu_2019,Follow-up and Outcome Assessment,methods
Lu_2019,Statistical Analyses,methods
Lu_2019,RESULTS,results
Lu_2019,Glycemic Measures and Incident Diabetes,results
Lu_2019,Predictive Values of Glycemic Measures,results
Lu_2019,CONCLUSIONS,conclusions
Lu_2019,all_tables,tables
Lu_2019,all_figure_descriptions,figures
Skriver_2010,Abstract,abstract
Skriver_2010,Introduction,intro
Skriver_2010,Methods,methods
Skriver_2010,Study design,methods
Skriver_2010,Results,results
Skriver_2010,Discussion,discussion
Skriver_2010,all_tables,tables
Skriver_2010,all_figure_descriptions,figures
Hunt_2004,Abstract,abstract
Hunt_2004,"Study Population, Follow-Up, and Events",methods
Hunt_2004,Statistical Analyses,methods
Hunt_2004,Results,results
Hunt_2004,Discussion,discussion
Hunt_2004,Hunt et al Metabolic Syndrome and Mortality,discussion
Hunt_2004,Age-and Gender-Adjusted Characteristics (Means or Proportions and 95% CIs) of the Study Population by NCEP and WHO Metabolic Syndrome,discussion
Hunt_2004,all_tables,tables
Hunt_2004,all_figure_descriptions,figures
Vistisen_2018,Abstract,abstract
Vistisen_2018,RESEARCH DESIGN AND METHODS,methods
Vistisen_2018,Study Design and Participants,methods
Vistisen_2018,Ethics,methods
Vistisen_2018,Definition of Prediabetes,methods
Vistisen_2018,Assessment of Clinical Characteristics,methods
Vistisen_2018,Outcome Ascertainment,methods
Vistisen_2018,Statistical Analysis,methods
Vistisen_2018,RESULTS,results
Vistisen_2018,Prediabetes by Different Definitions,results
Vistisen_2018,Event Rates in Individuals With Prediabetes by Different Definitions,results
Vistisen_2018,Overall Event Rates,results
Vistisen_2018,Event Rates by Glycemic Criteria,results
Vistisen_2018,Comparing Event Rates Between Nonoverlapping Groups,results
Vistisen_2018,Exploring Event Rates by Increasing of Glycemia,results
Vistisen_2018,CONCLUSIONS,discussion
Vistisen_2018,all_tables,tables
Vistisen_2018,all_figure_descriptions,figures
Henry_2002,Abstract,abstract
Henry_2002,Methods,methods
Henry_2002,Subjects,methods
Henry_2002,Data Analysis,methods
Henry_2002,Results,results
Henry_2002,Discussion,discussion
Henry_2002,Perspectives,conclusions
Henry_2002,all_tables,tables
Henry_2002,all_figure_descriptions,figures
Warren_2017,Abstract,abstract
Warren_2017,Introduction,intro
Warren_2017,Methods,methods
Warren_2017,Study design and participants,methods
Warren_2017,Research in context,intro
Warren_2017,Added value of this study,intro
Warren_2017,Implications of all the available evidence,intro
Warren_2017,Procedures,methods
Warren_2017,Statistical analysis,methods
Warren_2017,Role of the funding source,methods
Warren_2017,Results,results
Warren_2017,Discussion,discussion
Warren_2017,All-cause mortality,discussion
Warren_2017,"4: 10 year sensitivity, specifi city, positive predictive value, negative predictive value, positive likelihood ratio, and negative likelihood ratio of incident clinical outcomes according to diff erent defi nitions of prediabetes versus normoglycaemia at baseline",discussion
Warren_2017,Contributors,misc.
Warren_2017,Declaration of interests,misc.
Warren_2017,all_tables,tables
Warren_2017,all_figure_descriptions,figures
Fang_2019,Abstract,abstract
Fang_2019,Introduction,intro
Fang_2019,Methods,methods
Fang_2019,Study design,methods
Fang_2019,Inclusion and exclusion criteria,methods
Fang_2019,Study procedures,methods
Fang_2019,Outcomes,methods
Fang_2019,Statistics analysis,methods
Fang_2019,Results,results
Fang_2019,Baseline characteristics,results
Fang_2019,Insulin resistance and ˇ cell function,results
Fang_2019,Incident T2DM,results
Fang_2019,Glycemic control,results
Fang_2019,Cardiovascular outcomes and cancer,results
Fang_2019,All-cause mortality,results
Fang_2019,Risk factors of all-cause mortality,results
Fang_2019,Discussion,discussion
Fang_2019,Conclusions,conclusions
Fang_2019,all_tables,tables
Fang_2019,all_figure_descriptions,figures
Shi_2016,Abstract,abstract
Shi_2016,Introduction,intro
Shi_2016,Methods,methods
Shi_2016,Study population,methods
Shi_2016,Data collection and measurements,methods
Shi_2016,Categories of glucose metabolism,methods
Shi_2016,Dietary measurements,methods
Shi_2016,Covariates,methods
Shi_2016,Death ascertainment,methods
Shi_2016,Statistical analysis,methods
Shi_2016,Results,results
Shi_2016,Interactions,results
Shi_2016,all_tables,tables
Shi_2016,all_figure_descriptions,figures
Sung_2009,Abstract,abstract
Sung_2009,Editorial p 773 Clinical Perspective p 819,intro
Sung_2009,Methods,methods
Sung_2009,Study Participants,methods
Sung_2009,Follow-Up of Cardiovascular Mortality and Morbidity,methods
Sung_2009,Analytical Methods,methods
Sung_2009,Results,results
Sung_2009,Discussion,discussion
Sung_2009,Figure.,discussion
Sung_2009,Sung et al,discussion
Sung_2009,all_tables,tables
Sung_2009,all_figure_descriptions,figures
Wild_2005,Abstract,abstract
Wild_2005,Subjects and methods,methods
Wild_2005,Results,results
Wild_2005,Discussion,discussion
Wild_2005,all_tables,tables
Wild_2005,all_figure_descriptions,figures
Welsh_2020,Abstract,abstract
Welsh_2020,RESEARCH DESIGN AND METHODS,methods
Welsh_2020,Statistical Analyses,methods
Welsh_2020,RESULTS,results
Welsh_2020,Cross Sectional Associations,results
Welsh_2020,CVD Outcomes,results
Welsh_2020,Association of HbA 1c with CVD Outcomes,results
Welsh_2020,HbA 1c and Prediction of CVD Outcomes in Addition to Classical Risk Factors,results
Welsh_2020,CONCLUSIONS,discussion
Welsh_2020,all_tables,tables
Welsh_2020,all_figure_descriptions,figures
Wang_2007,Abstract,abstract
Wang_2007,Introduction,intro
Wang_2007,Methods,methods
Wang_2007,Baseline study,methods
Wang_2007,Follow-up study,methods
Wang_2007,Definitions of the MetS,methods
Wang_2007,Statistical analyses,methods
Wang_2007,Results,results
Wang_2007,Discussion,discussion
Wang_2007,all_tables,tables
Wang_2007,all_figure_descriptions,figures
Mirbolouk_2016,Abstract,abstract
Mirbolouk_2016,Introduction,intro
Mirbolouk_2016,Materials and methods,methods
Mirbolouk_2016,Study population,methods
Mirbolouk_2016,Clinical and laboratory measurement,methods
Mirbolouk_2016,Definition of variables and CVD outcomes,methods
Mirbolouk_2016,Statistical analysis,methods
Mirbolouk_2016,Results,results
Mirbolouk_2016,Discussion,discussion
Mirbolouk_2016,|,discussion
Mirbolouk_2016,all_tables,tables
Mirbolouk_2016,all_figure_descriptions,figures
Rhee_2016,Abstract,abstract
Rhee_2016,1.,intro
Rhee_2016,Introduction,intro
Rhee_2016,Methods,methods
Rhee_2016,Study Population,methods
Rhee_2016,Data Collection,methods
Rhee_2016,Laboratory Analyses,methods
Rhee_2016,Mortality Follow-up,methods
Rhee_2016,Statistical Analysis,methods
Rhee_2016,Results,results
Rhee_2016,Discussion,discussion
Rhee_2016,Categories of HbA1c,discussion
Rhee_2016,Conclusions,conclusions
Rhee_2016,all_tables,tables
Rhee_2016,all_figure_descriptions,figures
Lazo-Porras_2020,Abstract,abstract
Lazo-Porras_2020,Introduction,intro
Lazo-Porras_2020,Methods,methods
Lazo-Porras_2020,"Study design, setting and participants",methods
Lazo-Porras_2020,Follow-up assessment,methods
Lazo-Porras_2020,Variables definition,methods
Lazo-Porras_2020,Laboratory procedures,methods
Lazo-Porras_2020,Statistical analysis,methods
Lazo-Porras_2020,Ethics,methods
Lazo-Porras_2020,Results,results
Lazo-Porras_2020,"Characteristics of the study population, stratified by death during follow-up",results
Lazo-Porras_2020,Discussion,discussion
Lazo-Porras_2020,Ethical Approval,misc.
Lazo-Porras_2020,all_tables,tables
Lazo-Porras_2020,all_figure_descriptions,figures
Ahn_2018,Abstract,abstract
Ahn_2018,Introduction,intro
Ahn_2018,Data collection,methods
Ahn_2018,Main outcome measures,methods
Ahn_2018,Statistical analysis,methods
Ahn_2018,Results,results
Ahn_2018,Discussion,discussion
Ahn_2018,3,discussion
Ahn_2018,Men Women,discussion
Ahn_2018,all_tables,tables
Ahn_2018,all_figure_descriptions,figures
Eastwood_2015,Abstract,abstract
Eastwood_2015,RESEARCH DESIGN AND METHODS,methods
Eastwood_2015,Study Participants and Design,methods
Eastwood_2015,Baseline Measurements,methods
Eastwood_2015,Follow-up Measurements,methods
Eastwood_2015,Statistical Analysis,methods
Eastwood_2015,RESULTS,results
Eastwood_2015,CONCLUSIONS,discussion
Eastwood_2015,all_tables,tables
Eastwood_2015,all_figure_descriptions,figures
Valdes_2009,Abstract,abstract
Valdes_2009,Follow-up and identification of Fatal Events,methods
Valdes_2009,METHoDS,methods
Valdes_2009,Asturias Study,methods
Valdes_2009,RESUlTS,results
Valdes_2009,Statistical Study,methods
Valdes_2009,3-fold greater than persons with normoglycemia the analysis adjusted for age and sex; these levels remained just slightly lower after the multivariate,discussion
Valdes_2009,ConClUSionS,conclusions
Valdes_2009,all_tables,tables
Valdes_2009,all_figure_descriptions,figures
Saydah_2001,Abstract,abstract
Saydah_2001,P,intro
Saydah_2001,RESEARCH DESIGN AND METHODS,methods
Saydah_2001,Data sources,methods
Saydah_2001,Participants,methods
Saydah_2001,Baseline assessments,methods
Saydah_2001,Outcomes,methods
Saydah_2001,Analysis,methods
Saydah_2001,RESULTS,results
Saydah_2001,Characteristics and risk factors at baseline,results
Saydah_2001,Mortality,results
Saydah_2001,Multivariate proportional hazards,results
Saydah_2001,CONCLUSIONS -,discussion
Saydah_2001,all_tables,tables
Saydah_2001,all_figure_descriptions,figures
de_Abreu_2017,Abstract,abstract
de_Abreu_2017,Introduction,intro
de_Abreu_2017,Methods,methods
de_Abreu_2017,Study Design and,methods
de_Abreu_2017,Statistical,methods
de_Abreu_2017,Results,results
de_Abreu_2017,Discussion,discussion
de_Abreu_2017,Conclusions,conclusions
de_Abreu_2017,all_tables,tables
de_Abreu_2017,all_figure_descriptions,figures
Schottker_2013,Abstract,abstract
Schottker_2013,Introduction,intro
Schottker_2013,Methods,methods
Schottker_2013,Statistical analyses,methods
Schottker_2013,Results,results
Schottker_2013,Distribution of cardiovascular risk factors in individuals with prediabetes and diabetes,results
Schottker_2013,Prediction of incident cardiovascular events in individuals diabetes,results
Schottker_2013,Discussion,discussion
Schottker_2013,Cardiovascular risk profiles,discussion
Schottker_2013,Conclusion,conclusions
Schottker_2013,all_tables,tables
Schottker_2013,all_figure_descriptions,figures
Pankow_2007,Abstract,abstract
Pankow_2007,RESEARCH DESIGN AND METHODS -The Atherosclerosis,methods
Pankow_2007,CVD risk factors and glucose,methods
Pankow_2007,Subclinical CVD,methods
Pankow_2007,Statistical analysis,methods
Pankow_2007,Glucose impairment and cardiometabolic risk,results
Pankow_2007,CONCLUSIONS -W e o b s e r v e d poor agreement between IFG and IGT using current ADA definitions for glucose impairment in nondiabetic individuals.,discussion
Pankow_2007,all_tables,tables
Pankow_2007,all_figure_descriptions,figures
Samaras_2015,Abstract,abstract
Samaras_2015,RESEARCH DESIGN AND METHODS,methods
Samaras_2015,Glucose Status Classification,methods
Samaras_2015,Procedures and Laboratory Analyses,methods
Samaras_2015,Statistical Analyses,methods
Samaras_2015,Cross-Sectional Statistical Analyses,methods
Samaras_2015,Prospective Statistical Analyses,methods
Samaras_2015,RESULTS,results
Samaras_2015,Baseline Disease Prevalence and Metabolic and Inflammatory Associations in IFG,results
Samaras_2015,Two-Year All-Cause Mortality and IFG,results
Samaras_2015,Two-Year Incident Cardiovascular Disease and Stroke and IFG,results
Samaras_2015,Two-Year Incident Cancer and IFG,results
Samaras_2015,"Diabetes Mellitus, Mortality, and Incident Disease",results
Samaras_2015,DISCUSSION,discussion
Samaras_2015,all_tables,tables
Samaras_2015,all_figure_descriptions,figures
Magliano_2010,Abstract,abstract
Magliano_2010,S,intro
Magliano_2010,Risk factors at baseline,methods
Magliano_2010,Causes of death,methods
Magliano_2010,Statistical analyses,methods
Magliano_2010,RESULTS,results
Magliano_2010,"-Adjusted all-cause (A) and CVD (B) mortality HRs (95% CIs) for IFG, IGT, NDM, and KDM compared with NGT according to ethnic",results
Magliano_2010,all_tables,tables
Magliano_2010,all_figure_descriptions,figures
Wang_2008,Abstract,abstract
Wang_2008,Subjects and Methods,methods
Wang_2008,Baseline Study,methods
Wang_2008,Diagnosis of Incident Stroke,methods
Wang_2008,Definitions of the MetS,methods
Wang_2008,Statistical Analyses,methods
Wang_2008,Results,results
Wang_2008,Discussion,discussion
Wang_2008,Wang et al Metabolic Syndrome and Stroke,discussion
Wang_2008,Sources of Funding,misc.
Wang_2008,all_tables,tables
Wang_2008,all_figure_descriptions,figures
Madssen_2012,Abstract,abstract
Madssen_2012,Introduction,intro
Madssen_2012,Material and methods,methods
Madssen_2012,The HUNT study,methods
Madssen_2012,Study variables,methods
Madssen_2012,Study population,methods
Madssen_2012,Follow-up,methods
Madssen_2012,Statistical analysis,methods
Madssen_2012,Results,results
Madssen_2012,Discussion,discussion
Madssen_2012,Potentially confounding factors,discussion
Madssen_2012,Abnormal glucose regulation and fatal CAD,discussion
Madssen_2012,Gender differences,discussion
Madssen_2012,Limitations of the study,discussion
Madssen_2012,Conclusions,conclusions
Madssen_2012,all_tables,tables
Madssen_2012,all_figure_descriptions,figures
Chattopadhyayv 2019,Abstract,abstract
Chattopadhyayv 2019,Introduction,intro
Chattopadhyayv 2019,Methods,methods
Chattopadhyayv 2019,Statistical analysis,methods
Chattopadhyayv 2019,Results,results
Chattopadhyayv 2019,Discussion,discussion
Chattopadhyayv 2019,all_tables,tables
Chattopadhyayv 2019,all_figure_descriptions,figures
Nigam_2007,Abstract,abstract
Nigam_2007,METHODS,methods
Nigam_2007,Study population,methods
Nigam_2007,Clinical variables,methods
Nigam_2007,"Definitions of IFG, PPH and diabetes",methods
Nigam_2007,Statistical analysis,methods
Nigam_2007,RESULTS,results
Nigam_2007,Baseline characteristics,results
Nigam_2007,DISCUSSION,discussion
Nigam_2007,CONCLUSIONS,conclusions
Nigam_2007,ACKNOWLEDGEMENTS:,misc.
Nigam_2007,all_tables,tables
Nigam_2007,all_figure_descriptions,figures
Tamita_2012,Abstract,abstract
Tamita_2012,METHODS,methods
Tamita_2012,Study patients,methods
Tamita_2012,Protocols,methods
Tamita_2012,Study endpoints and definitions,methods
Tamita_2012,Statistical analysis,methods
Tamita_2012,RESULTS,results
Tamita_2012,DISCUSSION,discussion
Tamita_2012,Prevalence of glucose intolerance in patients with AMI,discussion
Tamita_2012,Prognosis of patients with AMI with abnormal glucometabolic status,discussion
Tamita_2012,Hyperglycaemia after AMI: risk marker or therapeutic target,discussion
Tamita_2012,Study limitations,discussion
Tamita_2012,Conclusions,conclusions
Tamita_2012,all_tables,tables
Tamita_2012,all_figure_descriptions,figures
Intzilakis_2012,Abstract,abstract
Intzilakis_2012,Introduction,intro
Intzilakis_2012,Subjects and methods,methods
Intzilakis_2012,Endpoints,methods
Intzilakis_2012,Statistical analyses,methods
Intzilakis_2012,Results,results
Intzilakis_2012,Follow-up and events,results
Intzilakis_2012,DIABETICMedicine,results
Intzilakis_2012,Discussion,discussion
Intzilakis_2012,Competing interests,misc.
Intzilakis_2012,all_tables,tables
Intzilakis_2012,all_figure_descriptions,figures
Kanaya_2005,Abstract,abstract
Kanaya_2005,I,intro
Kanaya_2005,RESEARCH DESIGN AND METHODS,methods
Kanaya_2005,The RBS,methods
Kanaya_2005,Statistical analysis,methods
Kanaya_2005,RESULTS,results
Kanaya_2005,Four simple variables can predict diabetes,discussion
Kanaya_2005,all_tables,tables
Kanaya_2005,all_figure_descriptions,figures
Mainous_2014,Abstract,abstract
Mainous_2014,INTRODUCTION,intro
Mainous_2014,METHODS,methods
Mainous_2014,We conducted longitudinal analyses of the third National Health and Nutrition Examination,methods
Mainous_2014,Previously diagnosed diabetes,methods
Mainous_2014,Normoglycaemia and prediabetes,methods
Mainous_2014,Transferrin saturation,methods
Mainous_2014,Serum ferritin,methods
Mainous_2014,Mortality,methods
Mainous_2014,Covariates,methods
Mainous_2014,Analysis,methods
Mainous_2014,RESULTS,results
Mainous_2014,DISCUSSION,discussion
Mainous_2014,all_tables,tables
Mainous_2014,all_figure_descriptions,figures
Bergman_2015,Abstract,abstract
Bergman_2015,Introduction,intro
Bergman_2015,Materials and methods,methods
Bergman_2015,Study population,methods
Bergman_2015,Laboratory tests,methods
Bergman_2015,Definitions,methods
Bergman_2015,Statistical analysis,methods
Bergman_2015,Results,results
Bergman_2015,Discussion,discussion
Bergman_2015,all_tables,tables
Bergman_2015,all_figure_descriptions,figures